problem,checkpoint,strict_solved,isolated_solved,core_solved,passed_tests,total_tests,total_pass_rate,isolated_pass_rate,core_pass_rate,cost,duration_seconds,steps,input_tokens,cache_read_tokens,output_tokens,reasoning_tokens,loc,functions,cc_max,verbosity,erosion,cloned_pct
eve_industry,3,True,True,True,50,50,1.0,1.0,1.0,0.142441,230.98721,27,302424,273280,17758,13013,879,25,46,0.2253968253968254,0.5997684030526877,0.08095238095238096
eve_industry,4,True,True,True,59,59,1.0,1.0,1.0,0.491864,720.757584,57,1349229,1279936,55312,45696,1287,37,46,0.36324786324786323,0.6941433119202113,0.08974358974358974
eve_industry,5,False,False,True,69,73,0.9452054794520548,0.7142857142857143,1.0,2.398617,2728.599277,101,8475200,8231744,212564,195901,1543,43,46,0.37544483985765126,0.7158522676615737,0.08807829181494661
eve_industry,6,False,False,True,74,80,0.925,0.7142857142857143,1.0,2.310544,3613.918017,119,5930016,5473536,250281,232985,1866,49,47,0.39440765268579836,0.7724694466049021,0.12288447387785136
eve_jump_planner,1,False,False,True,3,11,0.2727272727272727,0.2727272727272727,1.0,4.146807,5092.985455,247,16419641,16032960,303547,268280,578,22,83,0.17660550458715596,0.8322648444471873,0.020642201834862386
eve_jump_planner,2,False,False,True,6,19,0.3157894736842105,0.375,1.0,1.522389,3837.99072,134,5691582,5405504,96433,65889,805,31,89,0.1635434412265758,0.8110064740914658,0.015332197614991482
eve_jump_planner,3,False,False,True,10,31,0.3225806451612903,0.3333333333333333,1.0,1.440919,1699.576315,137,5851855,5724416,100986,68629,1100,35,58,0.36755386565272496,0.8448457917192337,0.026615969581749048
eve_market_tools,1,False,False,False,5,10,0.5,0.5,0.5,0.576002,779.7928,58,1617505,1540480,64088,47086,1470,50,26,0.19724770642201836,0.5042583525078496,0.11192660550458716
eve_market_tools,2,False,False,False,12,28,0.42857142857142855,0.3888888888888889,0.7,1.3111,1381.388913,208,5372626,5224704,83656,56486,2524,78,44,0.2888311688311688,0.6114758233134037,0.09090909090909091
eve_market_tools,3,False,False,False,12,62,0.1935483870967742,0.0,0.0,2.900608,3065.335164,285,14312319,14143552,119327,67068,3848,110,198,0.4248430789560621,0.820676050101899,0.10802775024777007
eve_market_tools,4,False,False,False,12,75,0.16,0.0,0.0,1.605268,1640.213193,179,7248056,7129728,88026,51701,5276,135,198,0.41155321188878236,0.8472970824020839,0.11001917545541706
eve_route_planner,1,True,True,True,11,11,1.0,1.0,1.0,0.914297,1102.560607,134,3474318,3382080,71384,49480,483,7,62,0.09340659340659341,0.8490214301296952,0.038461538461538464
eve_route_planner,2,False,False,True,19,25,0.76,0.6428571428571429,1.0,1.572299,2513.413852,106,5969298,5819584,124735,94541,1339,17,62,0.21082089552238806,0.8476307793580069,0.09421641791044776
eve_route_planner,3,False,False,False,24,41,0.5853658536585366,0.3125,0.0,1.712111,1821.401764,172,7792873,7666368,91328,68882,1988,34,62,0.20444718962322422,0.8490315901895888,0.08338480543545398
execution_server,1,False,False,True,43,45,0.9555555555555556,0.9555555555555556,1.0,0.049758,106.110219,17,64530,54336,7845,2644,363,6,22,0.39655172413793105,0.46348559984750853,0.1310344827586207
execution_server,2,False,True,True,56,58,0.9655172413793104,1.0,1.0,0.04018,69.280584,19,71426,61440,5216,1680,451,8,28,0.4428969359331476,0.563769513962146,0.10584958217270195
execution_server,3,False,True,True,99,101,0.9801980198019802,1.0,1.0,0.090559,160.813499,26,167125,149440,12462,7259,781,18,28,0.35175879396984927,0.6148080608079545,0.06700167504187604
execution_server,4,False,True,True,147,149,0.9865771812080537,1.0,1.0,0.21728,260.873603,51,670453,635008,20502,9754,1193,28,26,0.29506437768240346,0.6487382044586374,0.08798283261802575
execution_server,5,False,True,True,183,185,0.9891891891891892,1.0,1.0,0.141213,211.099235,31,343206,313408,15690,9253,1486,33,28,0.28484848484848485,0.6058552095101717,0.09696969696969697
execution_server,6,False,False,False,68,70,0.9714285714285714,0.9411764705882353,0.9285714285714286,0.417523,615.447216,46,1122100,1054976,46240,28339,2038,43,28,0.3440514469453376,0.6648176839873072,0.07781350482315112
file_backup,1,False,False,True,19,32,0.59375,0.59375,1.0,0.075106,135.777891,20,112062,96832,11286,6505,324,9,22,0.1038961038961039,0.8911410405198048,0.0
file_backup,2,False,False,True,32,50,0.64,0.7222222222222222,1.0,0.086301,124.641538,35,223895,205696,9025,4481,474,13,27,0.10632183908045977,0.8399185002870246,0.0
file_backup,3,False,False,True,44,68,0.6470588235294118,0.6666666666666666,1.0,0.081511,130.531223,18,127062,104448,10829,6196,559,15,30,0.15458937198067632,0.7914536087935883,0.0
file_backup,4,False,False,True,58,89,0.651685393258427,0.6666666666666666,1.0,0.037537,113.03523,28,92485,79104,3042,992,559,15,30,0.15458937198067632,0.7914536087935883,0.0
file_merger,1,True,True,True,46,46,1.0,1.0,1.0,1.26123,2140.272366,108,4800177,4687232,100994,78332,1033,54,29,0.26727509778357234,0.3054560006520543,0.08735332464146023
file_merger,2,False,False,False,84,86,0.9767441860465116,0.95,0.9090909090909091,0.580301,1010.49649,53,1504268,1422400,68735,44861,1921,97,27,0.2697414395527603,0.3693751295897473,0.1013277428371768
file_merger,3,False,True,True,102,104,0.9807692307692307,1.0,1.0,0.333842,502.054634,60,1065795,1013568,30514,15391,2632,132,27,0.21921921921921922,0.36187886875606445,0.07857857857857858
